expt	potid	bk	julydate	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	percweed	miviind	paviind	sobiind	percmiviind	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	ammonifd	nitrifd	minzd	soilmoi	notes
E4	142	9	27	P	L3	4.2	37.24	NA	0	41.44	10	0	2	4	0	33	2.1	9.31	NA	5.7951	10.1101	15.9052	0.0197	-0.1626	-0.1429	79.4	NA
E4	143	9	27	P	L4	9.98	24.98	NA	0	34.96	29	0	1	5	0	17	9.98	5	NA	9.2879	21.501	30.789	0.0295	0.0025	0.032	81.55	NA
E4	146	10	27	N	L1	35.59	NA	NA	0	35.59	100	0	5	0	0	83	7.12	NA	NA	8.6812	14.3514	23.0326	0.0301	-0.0145	0.0156	79.2	NA
E4	147	10	27	N	L2	23.11	NA	NA	0	23.11	100	0	4	0	0	67	5.78	NA	NA	6.4563	18.5627	25.019	0.0215	0.0279	0.0494	78.39	NA
E4	148	10	27	N	L3	25.84	NA	NA	0.08	25.92	100	0	2	0	0	33	12.92	NA	NA	1.5825	15.044	16.6265	0.0043	0.0199	0.0241	78.82	NA
E4	149	10	27	N	L4	13.74	NA	NA	0	13.74	100	0	1	0	0	17	13.74	NA	NA	8.6091	20.4804	29.0895	0.0298	-0.005	0.0248	81.5	NA
E4	151	10	27	S	L1	13.05	NA	63.14	0	76.19	17	0	5	0	1	83	2.61	NA	63.14	3.7328	13.0639	16.7967	0.0129	-0.0366	-0.0237	79.37	NA
E4	152	10	27	S	L2	1.52	NA	68.56	0	70.08	2	0	4	0	2	67	0.38	NA	34.28	4.1496	0.0163	4.1659	0.0143	-0.0292	-0.0148	75.43	NA
E4	153	10	27	S	L3	0.35	NA	90.53	0	90.88	0	0	2	0	4	33	0.18	NA	22.63	2.5906	12.1571	14.7477	0.0087	0.0418	0.0505	72.86	NA
E4	154	10	27	S	L4	2.24	NA	75.58	0	77.82	3	0	1	0	5	17	2.24	NA	15.12	2.2083	8.7643	10.9725	0.0043	-0.005	-0.0007	68.56	NA
E4	156	10	27	P	L1	30.94	17.62	NA	0	48.56	64	0	5	1	0	83	6.19	17.62	NA	9.3698	14.6534	24.0233	0.0312	-0.213	-0.1818	76.9	NA
E4	157	10	27	P	L2	17.88	17.24	NA	0	35.12	51	0	4	2	0	67	4.47	8.62	NA	5.9931	19.6291	25.6222	0.0205	-0.0556	-0.0351	79.53	NA
E4	158	10	27	P	L3	5.55	33.59	NA	0	39.14	14	0	2	4	0	33	2.78	8.4	NA	3.1221	11.8402	14.9623	0.0058	0.0202	0.026	77.17	NA
E4	159	10	27	P	L4	8.8	25.81	NA	0.45	35.06	25	1	1	5	0	17	8.8	5.16	NA	11.1012	17.5583	28.6595	0.0352	0.0115	0.0467	80.34	NA
